user_id,pss_q1,pss_q2,pss_q3,pss_q4,pss_q5,pss_q6,pss_q7,pss_q8,pss_q9,pss_q10,total_pss,heart_rate,hrv_sdnn,sleep_hours,sleep_efficiency,physical_activity_min,work_hours,screen_time_hours,breaks_per_day,sentiment_score,anxiety_score,stress_level
USR-1027,2,3,1,1,3,3,3,3,1,0,16,75.4,69.3,5.5,78.8,30.0,8.0,3.3,3.0,0.33,4.5,0
USR-1028,3,3,3,4,2,2,4,1,1,4,21,74.2,53.1,6.4,73.3,39.0,8.2,5.3,4.0,-0.17,6.6,2
USR-1029,0,3,1,2,2,2,3,3,4,3,19,76.3,55.4,5.7,78.1,48.0,8.5,5.8,3.0,-0.3,4.0,1
USR-1030,3,1,3,2,2,3,2,2,4,4,26,72.5,37.7,6.8,71.0,51.0,10.9,4.9,3.0,-0.58,5.7,3
USR-1031,1,2,2,3,2,4,3,4,1,0,14,73.0,76.5,6.4,85.4,73.0,8.9,4.9,4.0,0.08,4.3,0
USR-1032,0,3,3,2,3,0,3,1,1,2,16,79.9,56.1,8.3,86.2,50.0,7.7,5.2,4.0,0.26,4.8,0
USR-1033,4,1,1,3,2,4,1,0,2,3,25,74.8,51.5,6.3,66.4,36.0,9.3,6.0,3.0,-0.43,7.2,3
USR-1034,4,1,3,2,4,3,3,1,0,1,18,78.2,59.5,7.0,72.4,25.0,7.0,4.3,2.0,-0.19,6.1,1
USR-1035,3,1,1,3,2,3,4,1,3,2,19,73.6,45.5,5.3,84.5,62.0,9.0,5.6,3.0,-0.07,5.2,2
USR-1036,2,2,3,1,1,2,2,2,0,2,21,82.4,39.8,6.8,77.1,39.0,10.7,5.5,3.0,0.13,4.7,2
USR-1037,0,4,4,4,4,2,3,1,0,1,15,73.9,61.3,7.1,75.1,40.0,7.6,5.9,3.0,0.34,3.5,0
USR-1038,3,0,1,3,2,4,3,3,2,2,17,76.9,55.1,6.0,84.2,46.0,9.3,3.8,2.0,0.12,4.2,1
USR-1039,2,2,4,1,1,2,3,1,4,4,28,84.8,44.3,6.1,72.7,21.0,9.5,6.6,2.0,-0.04,7.8,3
USR-1040,1,1,3,1,3,2,2,3,2,2,18,82.4,66.0,6.6,89.5,12.0,7.4,4.0,3.0,0.2,4.4,1
USR-1041,2,4,1,2,2,0,4,3,2,1,15,74.9,63.0,7.0,79.6,50.0,9.1,4.6,3.0,0.07,5.0,1
USR-1042,0,1,2,4,4,1,2,4,4,2,12,67.0,71.1,7.5,88.5,63.0,10.6,3.4,5.0,0.42,2.3,0
USR-1043,4,2,1,1,2,3,0,4,2,3,24,81.5,53.6,6.0,66.8,40.0,10.3,5.1,1.0,-0.38,6.3,2
USR-1044,1,3,3,2,3,3,4,4,2,3,18,73.9,55.0,7.1,85.5,40.0,8.2,5.2,3.0,0.16,4.2,1
USR-1045,3,3,3,0,0,3,3,3,2,3,27,84.4,38.2,6.1,76.5,30.0,9.6,5.8,3.0,-0.44,7.2,3
USR-1046,2,2,1,2,2,1,4,2,1,0,13,69.3,65.9,7.7,90.3,47.0,10.2,6.1,3.0,0.24,3.6,0
USR-1047,2,2,2,3,4,2,1,3,2,2,17,71.5,59.4,6.6,84.8,43.0,8.9,6.3,3.0,0.33,5.3,1
USR-1048,2,2,3,4,3,2,0,4,2,3,19,77.6,63.6,6.0,77.3,38.0,7.9,6.2,3.0,0.07,4.7,1
USR-1049,1,1,4,2,1,2,4,0,1,4,22,79.5,51.3,6.0,69.6,36.0,9.2,6.5,3.0,-0.06,5.7,2
USR-1050,4,1,2,3,1,4,1,2,1,3,24,86.3,47.6,7.6,71.0,52.0,9.9,6.1,3.0,-0.07,6.7,2
USR-1051,3,2,4,2,2,3,3,1,2,0,22,77.2,50.7,7.3,66.7,41.0,9.9,7.1,2.0,0.07,5.6,1
USR-1052,4,1,2,0,3,0,3,2,2,2,19,66.7,48.9,7.8,73.1,40.0,10.7,5.1,4.0,0.46,5.1,1
USR-1053,4,2,2,2,3,4,3,2,0,0,18,73.9,69.1,8.0,80.6,48.0,10.2,7.4,4.0,0.19,5.4,0
USR-1054,3,3,4,3,3,2,1,3,1,3,22,71.1,61.6,6.2,75.3,43.0,9.5,4.8,2.0,-0.16,5.6,2
USR-1055,4,4,2,4,2,3,3,2,4,0,22,81.3,42.8,6.8,74.4,47.0,9.3,4.6,3.0,-0.1,4.4,1
USR-1056,0,3,2,4,3,1,4,4,2,1,10,60.4,73.9,7.7,80.5,40.0,8.0,2.9,3.0,0.12,2.7,0
USR-1057,1,0,2,1,2,3,2,2,0,2,17,69.9,44.0,7.5,70.4,35.0,7.8,3.9,4.0,-0.16,3.1,1
USR-1058,0,0,4,1,1,1,2,4,3,2,18,73.9,65.4,6.7,79.4,30.0,9.9,3.6,4.0,-0.43,4.6,0
USR-1059,2,4,3,1,3,2,2,2,0,2,21,86.1,48.2,6.7,78.1,46.0,8.9,5.8,3.0,-0.12,5.8,1
USR-1060,2,2,2,4,4,0,0,2,3,2,17,69.5,61.6,7.1,74.3,49.0,9.1,6.0,4.0,-0.19,4.7,1
USR-1061,1,0,2,4,3,1,4,2,3,3,13,71.4,48.3,7.8,79.6,30.0,10.0,4.7,3.0,0.23,4.9,0
USR-1062,3,3,2,3,3,0,4,1,3,2,18,78.6,47.9,7.4,86.2,44.0,9.4,3.9,3.0,-0.04,5.9,1
USR-1063,2,3,3,2,3,1,4,2,3,2,19,84.0,60.0,6.9,83.5,55.0,9.1,4.9,3.0,-0.19,5.2,1
USR-1064,2,3,1,2,4,1,3,3,0,2,13,75.3,58.1,7.5,74.8,43.0,7.3,5.5,4.0,-0.21,1.8,0
USR-1065,2,1,3,2,2,3,3,3,3,2,20,83.0,48.3,6.9,76.6,41.0,8.9,5.2,3.0,-0.07,5.8,1
USR-1066,1,0,2,1,2,0,1,3,1,3,16,78.3,71.2,8.4,87.3,51.0,7.0,4.2,4.0,-0.23,3.8,0
USR-1067,3,4,2,2,4,3,3,2,2,2,21,72.3,71.4,5.3,75.2,21.0,9.8,4.1,3.0,0.11,6.2,1
USR-1068,0,1,1,0,4,1,3,2,4,3,17,76.7,66.2,6.2,77.9,43.0,6.0,4.7,4.0,0.14,4.9,1
USR-1069,4,3,1,1,2,4,4,3,2,3,23,84.4,42.5,7.0,80.2,49.0,10.6,5.2,4.0,-0.14,6.4,2
USR-1070,3,3,4,4,2,4,3,1,4,3,27,78.8,60.4,6.4,76.7,23.0,10.9,6.3,1.0,0.08,7.1,2
USR-1071,1,3,2,3,2,1,4,1,0,2,15,70.2,48.8,7.4,85.4,53.0,8.4,5.4,5.0,0.15,6.1,1
USR-1072,0,2,1,2,1,3,4,0,2,2,19,72.6,53.8,7.4,76.4,39.0,8.2,5.1,3.0,0.11,5.5,1
USR-1073,3,1,2,2,4,0,4,0,0,3,15,77.0,61.7,7.4,84.1,35.0,8.2,5.1,4.0,0.29,3.2,0
USR-1074,3,3,2,2,2,4,0,1,3,1,27,83.3,61.6,5.7,79.2,28.0,7.9,6.8,4.0,-0.31,7.6,3
USR-1075,3,4,0,3,4,2,4,0,0,2,16,72.4,67.3,7.6,79.8,36.0,9.4,3.8,4.0,0.02,4.1,0
USR-1076,3,4,2,3,1,0,3,1,1,3,21,72.0,50.0,6.7,74.2,26.0,9.0,7.5,4.0,-0.02,6.5,1
USR-1077,0,1,2,3,2,2,2,3,1,0,12,70.2,57.4,7.1,89.2,43.0,9.6,3.8,5.0,-0.03,4.8,0
USR-1078,2,1,2,3,0,0,0,0,3,2,23,77.3,59.3,7.0,85.0,35.0,9.9,6.4,3.0,0.27,6.4,1
USR-1079,1,4,2,1,3,2,3,2,1,3,20,78.7,50.7,7.3,87.6,36.0,9.3,4.4,4.0,0.03,4.2,1
USR-1080,4,3,2,2,3,3,2,4,4,4,25,76.2,50.5,6.5,71.4,29.0,10.2,6.2,2.0,-0.19,5.9,2
USR-1081,3,4,4,2,3,2,2,3,1,4,24,81.9,39.0,7.8,72.6,36.0,8.4,6.1,3.0,0.3,7.2,2
USR-1082,2,1,2,2,0,2,3,2,0,2,18,73.6,62.1,8.0,73.4,46.0,8.2,6.9,4.0,-0.16,6.4,1
USR-1083,0,3,1,3,1,1,4,4,2,2,13,65.1,67.7,8.2,82.8,32.0,8.1,4.4,5.0,0.52,3.8,0
USR-1084,2,3,1,2,0,1,3,2,4,0,20,70.9,45.1,8.8,71.6,34.0,8.6,6.8,4.0,0.16,5.0,1
USR-1085,2,3,2,1,2,1,2,0,1,1,21,72.5,62.0,6.5,73.6,13.0,8.5,5.9,3.0,0.19,4.5,1
USR-1086,3,2,3,2,3,3,2,4,1,3,20,76.5,59.4,6.4,80.5,36.0,8.7,7.4,3.0,-0.04,4.3,1
USR-1087,3,0,1,4,3,1,1,4,3,1,13,72.0,69.7,8.1,84.2,47.0,8.0,2.8,4.0,0.22,3.9,0
USR-1088,4,3,3,1,3,3,2,2,2,1,24,82.3,47.0,6.2,64.9,40.0,12.4,6.5,3.0,-0.19,6.7,2
USR-1089,2,1,0,3,2,2,1,3,3,4,19,78.2,57.7,6.8,85.6,40.0,8.5,2.7,2.0,0.23,3.8,1
USR-1090,1,2,2,2,1,1,4,3,1,3,16,70.2,60.5,6.3,74.6,49.0,7.6,4.9,5.0,0.2,5.1,1
USR-1091,3,4,3,0,1,3,3,1,2,3,29,90.7,42.6,6.4,65.4,28.0,10.2,7.6,3.0,-0.38,8.3,3
USR-1092,3,2,2,2,1,2,1,1,1,4,25,79.7,50.1,5.1,67.1,24.0,11.6,7.6,3.0,-0.25,6.8,3
USR-1093,3,3,3,3,4,2,2,2,2,3,21,80.6,63.8,6.6,72.9,23.0,11.0,6.4,4.0,-0.03,6.8,1
USR-1094,3,1,1,2,3,3,2,4,3,1,17,74.1,67.3,7.0,74.8,38.0,10.9,4.8,4.0,0.02,4.9,1
USR-1095,2,3,3,4,1,2,2,0,3,2,24,82.9,40.5,6.1,69.6,24.0,9.7,6.5,2.0,0.17,6.4,3
USR-1096,2,4,0,2,1,2,0,3,2,2,22,78.2,60.4,5.2,63.2,34.0,10.1,8.3,4.0,0.1,6.0,2
USR-1097,2,1,4,0,4,2,4,0,4,2,23,82.1,60.8,5.1,75.4,28.0,8.2,6.0,4.0,0.07,7.0,2
USR-1098,0,0,1,4,3,3,1,2,1,3,14,72.2,61.3,6.7,82.7,49.0,7.7,5.7,3.0,0.23,4.4,0
USR-1099,1,2,4,2,3,0,0,3,1,2,18,79.8,61.6,7.4,89.7,40.0,7.4,4.8,2.0,-0.11,4.4,1
USR-1100,0,0,2,3,2,2,0,3,3,0,15,69.0,65.2,7.4,83.2,48.0,8.8,5.9,3.0,0.29,4.5,0
USR-1101,3,3,3,3,1,0,3,0,3,1,22,70.4,45.7,6.6,73.0,41.0,9.3,6.7,3.0,-0.48,6.0,2
USR-1102,2,4,2,2,4,1,1,2,0,1,17,70.0,55.7,6.3,73.2,39.0,8.8,4.5,3.0,0.12,4.4,1
USR-1103,2,2,4,3,3,3,0,3,3,4,25,87.2,54.8,6.6,72.8,30.0,8.7,6.9,3.0,-0.31,7.1,2
USR-1104,4,1,1,1,2,4,2,0,2,3,26,82.0,43.5,4.8,74.7,37.0,10.9,7.1,2.0,-0.36,6.6,3
USR-1105,1,2,1,2,4,4,3,1,3,3,20,78.0,62.8,4.8,74.5,67.0,6.1,6.2,3.0,-0.09,5.8,1
USR-1106,2,3,2,1,3,0,1,3,3,2,20,72.2,65.4,6.6,77.3,26.0,8.7,5.5,3.0,-0.02,5.7,1
USR-1107,3,0,0,3,2,2,2,2,2,3,17,75.2,67.9,6.6,88.7,41.0,8.4,6.4,3.0,0.09,4.0,0
USR-1108,1,3,1,1,2,3,2,1,0,3,21,73.3,69.6,7.5,74.3,22.0,6.7,4.7,4.0,0.13,4.7,1
USR-1109,0,3,4,3,1,1,1,2,3,2,22,74.9,51.8,6.7,66.1,35.0,9.8,5.8,2.0,-0.09,5.1,1
USR-1110,2,3,4,4,1,3,2,4,3,4,24,79.0,51.4,7.7,78.4,25.0,9.4,6.1,3.0,-0.14,6.0,2
USR-1111,1,1,2,2,3,3,0,0,1,4,23,82.4,53.8,6.0,76.3,33.0,10.1,7.0,2.0,-0.37,7.2,2
USR-1112,4,3,4,2,1,4,0,3,2,4,31,89.9,40.8,6.2,60.2,27.0,13.0,5.9,2.0,-0.58,7.5,3
USR-1113,3,0,2,2,3,0,2,0,4,3,21,81.3,58.1,6.5,78.4,31.0,9.5,5.9,3.0,0.03,5.8,1
USR-1114,3,1,1,2,4,1,1,0,2,4,21,70.4,40.1,7.8,71.3,15.0,10.3,5.1,3.0,0.1,6.2,1
USR-1115,4,4,3,2,0,3,0,1,1,2,30,86.2,44.1,5.7,71.7,43.0,12.2,6.9,3.0,-0.35,7.1,3
USR-1116,3,3,3,3,2,3,2,2,1,4,24,80.0,39.0,7.1,83.5,43.0,10.2,6.4,4.0,0.07,5.8,2
USR-1117,1,0,4,4,3,4,4,3,2,4,17,67.2,51.0,6.2,78.4,39.0,7.5,3.8,3.0,-0.19,5.5,1
USR-1118,4,1,1,4,3,0,3,2,4,4,18,75.8,63.4,6.6,83.9,29.0,6.7,6.5,3.0,0.14,5.3,1
USR-1119,2,1,3,4,3,3,3,3,3,3,18,74.5,55.9,6.9,72.4,41.0,9.1,5.7,4.0,-0.11,4.4,1
USR-1120,3,1,0,4,2,3,4,2,2,2,15,75.7,66.8,8.2,73.2,47.0,7.8,4.0,4.0,-0.04,3.9,0
USR-1121,4,1,1,2,2,0,4,1,3,1,17,75.3,57.0,5.3,89.3,50.0,10.1,4.8,4.0,-0.06,4.7,1
USR-1122,2,0,0,3,3,2,3,2,3,2,14,69.5,71.4,7.0,83.0,55.0,7.5,6.2,4.0,0.16,4.2,0
USR-1123,1,2,4,4,4,3,3,3,3,3,18,80.4,55.6,6.6,81.7,52.0,8.7,5.7,2.0,0.15,5.8,1
USR-1124,1,3,3,2,2,1,2,3,1,1,17,63.8,43.1,5.4,85.0,20.0,7.2,4.2,5.0,0.16,5.0,1
USR-1125,2,3,3,4,4,1,1,4,3,2,17,74.6,60.6,6.6,76.6,37.0,8.1,4.3,3.0,0.03,3.8,1
USR-1126,3,3,2,2,1,3,3,2,2,3,24,72.2,32.6,5.2,78.1,45.0,8.5,6.6,2.0,0.01,5.5,3
USR-1127,4,0,2,3,4,2,4,3,0,3,13,66.8,52.1,5.5,85.6,34.0,6.9,5.4,4.0,0.55,4.0,1
USR-1128,0,4,1,3,3,4,2,1,2,4,22,81.9,45.4,6.4,69.0,50.0,9.2,6.1,2.0,-0.08,5.8,2
USR-1129,2,3,2,4,2,2,3,3,4,3,20,71.1,46.9,6.5,84.6,59.0,8.3,5.2,3.0,0.02,4.6,1
USR-1130,2,3,2,1,3,1,2,4,2,3,19,69.5,51.9,6.6,84.3,53.0,12.0,6.2,3.0,-0.09,5.9,1
USR-1131,1,3,3,3,1,4,2,0,4,3,28,96.4,36.7,6.3,64.6,36.0,11.2,6.2,2.0,-0.32,5.2,3
USR-1132,1,4,2,2,1,4,2,2,0,3,23,73.3,40.0,5.8,75.8,29.0,10.8,5.0,3.0,0.16,6.2,2
USR-1133,2,2,0,1,1,0,2,3,3,1,17,83.1,71.1,8.4,78.1,44.0,8.4,6.7,5.0,0.34,3.4,0
USR-1134,4,1,0,3,1,3,2,3,1,1,17,74.0,53.3,7.0,86.3,25.0,8.7,5.6,3.0,0.05,5.3,1
USR-1135,2,3,1,2,2,1,3,1,1,4,20,74.9,37.2,7.8,69.9,28.0,8.5,4.7,3.0,0.1,5.0,1
USR-1136,2,3,2,3,3,0,4,4,3,3,15,76.0,58.4,5.8,98.8,35.0,11.4,5.0,4.0,0.33,4.8,1
USR-1137,3,3,4,2,3,1,4,3,3,3,21,85.1,44.8,6.0,75.4,37.0,9.0,5.7,3.0,-0.12,5.1,2
USR-1138,2,2,3,2,1,1,1,1,3,2,24,75.3,42.9,6.9,77.7,28.0,8.9,5.7,3.0,-0.38,7.2,2
USR-1139,4,0,3,3,4,3,4,0,3,2,20,74.9,60.7,6.6,83.9,41.0,8.1,5.7,3.0,0.14,3.8,1
USR-1140,4,2,2,2,3,3,2,3,3,2,22,83.5,48.9,5.7,74.5,46.0,9.7,4.8,3.0,0.12,6.4,2
USR-1141,1,4,2,1,4,4,2,0,4,1,25,83.3,39.5,4.8,72.7,23.0,11.5,7.0,3.0,-0.0,5.8,3
USR-1142,2,3,1,4,3,3,3,1,2,2,18,81.3,61.1,7.5,76.0,42.0,10.0,5.2,3.0,-0.01,5.1,1
USR-1143,2,2,4,2,1,2,2,3,1,2,21,81.0,62.9,7.2,71.8,31.0,8.2,4.0,3.0,0.27,5.8,1
USR-1144,2,1,3,3,2,3,0,3,1,2,20,86.5,59.3,6.9,78.4,40.0,8.1,5.3,4.0,0.06,4.1,1
USR-1145,0,2,1,2,3,4,2,3,2,3,18,76.6,37.9,6.5,77.8,48.0,10.2,4.6,4.0,-0.17,5.6,1
USR-1146,3,4,2,2,0,3,3,2,3,4,28,85.6,36.1,5.2,68.5,40.0,12.7,3.5,2.0,-0.56,7.3,3
USR-1147,2,3,2,2,0,3,2,3,0,3,22,80.9,52.9,6.5,73.2,43.0,9.1,5.6,3.0,-0.12,5.8,2
USR-1148,0,3,3,2,1,4,3,4,1,4,21,77.7,51.8,5.6,79.1,41.0,10.6,6.7,4.0,0.01,5.8,2
USR-1149,1,2,4,2,1,1,3,1,1,2,20,81.7,52.4,6.1,73.0,20.0,7.2,5.4,3.0,-0.06,5.4,1
USR-1150,4,3,3,2,2,3,3,3,3,3,25,83.1,40.9,7.3,72.0,19.0,8.7,6.8,3.0,0.25,7.0,2
USR-1151,1,1,2,2,2,4,4,4,1,0,13,75.3,52.5,5.9,86.7,35.0,6.7,4.6,5.0,0.29,3.4,0
USR-1152,1,3,0,1,1,4,2,3,1,1,19,81.3,72.3,7.4,79.0,43.0,9.3,4.9,2.0,-0.16,5.7,0
USR-1153,2,2,0,2,3,1,1,3,3,3,18,77.9,57.7,8.1,73.3,24.0,8.5,4.5,3.0,-0.39,5.3,1
USR-1154,4,2,1,1,3,2,2,1,3,2,23,82.6,56.4,7.1,74.6,38.0,9.7,4.6,4.0,-0.04,5.7,1
USR-1155,1,3,0,1,2,3,2,2,2,3,21,73.3,53.8,7.0,78.4,40.0,10.6,6.6,3.0,0.17,6.9,1
USR-1156,3,4,3,4,0,1,3,3,3,2,22,76.5,52.9,6.2,80.4,12.0,8.5,6.5,3.0,0.31,6.0,2
USR-1157,3,0,3,3,0,3,0,3,0,4,23,84.3,50.8,6.0,71.0,21.0,9.6,5.6,4.0,-0.13,6.0,2
USR-1158,1,3,1,3,2,1,2,4,4,4,19,83.7,47.3,5.0,75.0,51.0,7.2,3.4,4.0,0.37,5.5,1
USR-1159,3,2,3,2,1,2,3,0,2,1,23,70.4,39.1,6.5,71.3,42.0,10.8,6.3,2.0,-0.36,5.8,3
USR-1160,2,2,1,4,2,2,3,0,4,2,20,74.7,58.1,6.4,73.8,27.0,10.3,4.6,5.0,-0.07,6.2,1
USR-1161,3,0,2,3,3,2,3,0,4,3,21,78.5,55.3,6.1,78.3,24.0,9.6,5.8,2.0,-0.23,5.4,1
USR-1162,3,2,1,3,2,2,3,3,3,2,18,71.4,65.0,6.9,81.5,10.0,8.8,3.7,2.0,0.22,5.5,1
USR-1163,2,2,2,2,1,2,3,1,0,1,18,71.6,63.4,7.0,83.8,57.0,8.1,5.3,3.0,-0.2,4.0,1
USR-1164,0,0,1,4,2,2,3,3,2,3,12,72.9,58.5,6.9,82.5,47.0,6.1,4.4,4.0,0.32,2.1,0
USR-1165,3,2,2,3,3,1,2,2,0,4,18,83.7,66.6,8.2,71.5,62.0,9.1,2.8,3.0,-0.19,5.1,0
USR-1166,2,4,2,4,4,0,4,2,4,3,17,64.7,64.9,7.6,82.6,39.0,9.5,6.7,3.0,0.44,4.3,0
USR-1167,1,1,4,1,3,1,3,1,3,2,20,76.6,60.5,7.5,77.8,41.0,11.4,5.2,3.0,-0.07,5.1,1
USR-1168,0,3,0,1,2,3,1,4,4,2,20,79.8,73.0,6.7,77.3,48.0,8.5,5.2,3.0,0.08,3.4,0
USR-1169,3,2,1,2,2,3,2,3,3,2,21,82.3,70.1,7.1,69.8,56.0,9.5,6.2,3.0,-0.39,6.8,1
USR-1170,3,3,0,1,2,1,3,4,2,2,17,76.5,64.3,6.3,78.3,47.0,9.9,5.1,4.0,-0.21,4.7,1
USR-1171,0,1,3,4,4,1,4,3,2,2,10,77.6,72.0,8.2,78.5,49.0,8.9,4.6,4.0,0.15,4.2,0
USR-1172,2,1,0,0,0,3,1,1,2,1,23,80.3,59.9,6.3,77.2,34.0,8.7,4.7,3.0,0.08,4.8,1
USR-1173,1,1,3,0,4,2,0,1,2,4,24,87.6,45.3,5.6,71.9,20.0,9.3,5.9,3.0,0.01,6.2,2
USR-1174,3,0,2,1,3,4,4,4,3,3,19,73.4,51.7,6.8,75.2,34.0,8.2,3.5,4.0,0.25,5.4,1
USR-1175,1,1,2,1,3,3,4,3,4,3,19,76.9,61.6,6.6,70.1,39.0,7.8,5.1,3.0,-0.27,5.1,1
USR-1176,3,3,3,1,0,2,1,0,3,4,32,81.9,33.1,7.6,73.1,41.0,12.6,8.4,1.0,-0.26,8.0,3
USR-1177,2,4,1,3,3,2,2,3,4,2,20,82.0,59.7,7.1,75.7,32.0,9.1,4.0,2.0,-0.11,4.1,1
USR-1178,4,3,1,3,2,2,3,2,4,0,20,76.9,56.3,8.0,77.4,50.0,8.9,5.1,3.0,-0.16,5.5,1
USR-1179,1,3,2,0,1,0,2,2,2,3,22,81.0,45.7,7.5,71.8,34.0,9.6,3.6,3.0,-0.17,5.0,1
USR-1180,2,1,3,2,1,1,4,1,2,4,21,76.8,54.0,6.7,68.0,51.0,9.2,5.6,4.0,-0.05,5.0,1
USR-1181,1,2,1,2,4,1,1,3,3,3,17,77.8,69.2,6.7,76.6,49.0,8.3,5.6,5.0,0.22,4.6,1
USR-1182,4,2,1,1,2,3,0,0,2,0,25,83.9,49.4,4.9,71.4,39.0,8.8,6.5,3.0,0.07,6.0,3
USR-1183,4,1,4,3,2,2,1,2,0,3,22,74.3,53.2,5.9,77.0,47.0,11.2,5.1,2.0,0.04,5.4,1
USR-1184,1,2,0,3,0,0,2,2,2,0,14,67.6,65.1,7.8,79.7,54.0,7.4,2.6,4.0,0.31,4.9,0
USR-1185,3,2,3,3,3,3,1,1,4,2,25,81.7,52.4,6.1,69.7,45.0,8.6,4.9,1.0,0.21,6.2,2
USR-1186,3,2,3,3,3,2,0,2,0,1,19,79.9,53.6,7.1,70.2,64.0,8.8,6.6,3.0,0.17,4.7,1
USR-1187,2,2,2,0,3,2,3,0,3,4,25,91.2,51.6,4.7,73.5,51.0,12.3,7.0,2.0,-0.19,6.2,3
USR-1188,2,3,1,4,2,1,1,2,4,2,20,79.0,46.6,7.1,73.0,43.0,8.0,5.4,1.0,0.12,4.4,1
USR-1189,1,3,1,3,2,2,4,4,3,4,17,79.9,52.4,7.9,85.9,36.0,9.4,5.3,5.0,0.43,4.7,1
USR-1190,0,2,3,4,3,4,2,2,3,2,19,68.6,50.9,5.4,78.5,43.0,8.6,4.3,3.0,-0.14,5.6,2
USR-1191,4,4,3,0,1,0,3,2,3,2,26,92.8,51.3,6.5,75.3,8.0,10.2,7.5,1.0,-0.27,6.8,3
USR-1192,4,4,3,4,4,2,1,2,2,4,24,84.0,51.3,7.5,72.8,43.0,10.7,5.3,3.0,0.17,6.1,1
USR-1193,3,2,4,3,3,1,1,3,0,1,17,74.6,57.7,8.4,80.3,28.0,6.5,5.6,5.0,0.03,5.1,0
